2024-05-30 11:31:32.102 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-30 11:31:32.110 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-05-30 11:31:32.111 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-05-30 11:31:32.112 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-05-30 11:31:32.112 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2024-05-30 11:31:32.138 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-05-30 11:35:24.677 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 11:35:24.706 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 14968 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-05-30 11:35:24.706 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-05-30 11:35:25.579 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-30 11:35:25.581 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-05-30 11:35:25.615 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2024-05-30 11:35:26.311 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-30 11:35:26.318 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-30 11:35:26.319 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
